Year,agr_va,t
1961,3.714986883,1
1962,5.670691906,2
1963,3.242992819,3
1964,-11.45389275,4
1965,1.110688796,5
1966,7.869016791,6
1967,25.0058081,7
1968,-11.9687771,8
1969,4.75721323,9
1970,-6.650544135,10
1971,18.76439263,11
1972,-0.639258339,12
1973,-12.6600805,13
1974,30.37634409,14
1975,-8.579461775,15
1976,-2.41937846,16
1977,11.7514633,17
1978,4.007520817,18
1979,-2.166726925,19
1980,9.978090436,20
1981,5.782108826,21
1982,-8.445271374,22
1983,-22.7063197,23
1984,11.40182121,24
1985,20.33732443,25
1986,6.589332696,26
1987,2.544597779,27
1988,2.805313027,28
1989,14.70168792,29
1990,-7.13516924,30
1991,4.466159103,31
1992,-27.2600329,32
1993,23.93255371,33
1994,7.899999907,34
1995,-19.8999999,35
1996,23.99999983,36
1997,0.900000183,37
1998,-5.30000001,38
1999,6.200000009,39
2000,4.699999963,40
2001,-3.300000029,41
2002,6.499999957,42
2003,0.681069552,43
2004,0.859440044,44
2005,2.809785598,45
2006,-5.462780228,46
2007,2.97916197,47
2008,19.41150816,48
2009,-1.892281728,49
2010,-0.300341362,50
2011,1.994030064,51
2012,1.763397374,52
2013,4.479899326,53
2014,6.80147062,54
2015,-5.87927928,55
2016,-10.08180102,56
2017,21.07456652,57
2018,-4.752302298,58
2019,-6.888467036,59
