year,mt/ha,t
1960,0.61,1
1961,0.62,2
1962,0.51,3
1963,0.58,4
1964,0.8,5
1965,0.48,6
1966,0.48,7
1967,0.83,8
1968,0.75,9
1969,0.71,10
1970,0.72,11
1971,0.83,12
1972,0.87,13
1973,0.92,14
1974,0.86,15
1975,1,16
1976,1.2,17
1977,1.09,18
1978,0.9,19
1979,1.1,20
1980,0.91,21
1981,1.31,22
1982,1.23,23
1983,1,24
1984,1.16,25
1985,0.86,26
1986,1.21,27
1987,1.81,28
1988,1.78,29
1989,1.11,30
1990,1.1,31
1991,1.49,32
1992,1.77,33
1993,1.85,34
1994,1.77,35
1995,1.43,36
1996,2.1,37
1997,1.65,38
1998,2.52,39
1999,2.4,40
2000,2.52,41
2001,2.6,42
2002,2.47,43
2003,2.06,44
2004,2.02,45
2005,2.36,46
2006,2.75,47
2007,3.01,48
2008,2.85,49
2009,3.05,50
2010,2.56,51
2011,3.31,52
2012,3.66,53
2013,3.7,54
2014,3.67,55
2015,2.99,56
2016,3.76,57
2017,3.12,58
2018,3.71,59
2019,2.84,60
2020,3.4,61
