month,pre
1979-01,51.9
1979-02,NA
1979-03,66.9
1979-04,19.6
1979-05,55.6
1979-06,37.6
1979-07,84.2
1979-08,64.3
1979-09,53.6
1979-10,30.2
1979-11,20.2
1979-12,49
1980-01,71.9
1980-02,NA
1980-03,13.6
1980-04,56.5
1980-05,16.4
1980-06,49.1
1980-07,21.2
1980-08,37.6
1980-09,60.1
1980-10,86.4
1980-11,NA
1980-12,117.4
1981-01,NA
1981-02,52.4
1981-03,NA
1981-04,143.8
1981-05,173.2
1981-06,34.4
1981-07,29.6
1981-08,NA
1981-09,NA
1981-10,75.8
1981-11,29.3
1981-12,60.6
1982-01,84
1982-02,78
1982-03,67.2
1982-04,135.3
1982-05,NA
1982-06,NA
1982-07,57
1982-08,3.4
1982-09,135.1
1982-10,68.3
1982-11,27.4
1982-12,41.3
1983-01,21.5
1983-02,32.3
1983-03,23.5
1983-04,NA
1983-05,48.9
1983-06,92.9
1983-07,89.3
1983-08,9.5
1983-09,67.3
1983-10,110
1983-11,51.6
1983-12,64.3
1984-01,44.4
1984-02,30.1
1984-03,65.9
1984-04,30.7
1984-05,22.3
1984-06,28.2
1984-07,107.8
1984-08,14.1
1984-09,50.8
1984-10,71.6
1984-11,37.2
1984-12,54.2
1985-01,NA
1985-02,64.1
1985-03,40.2
1985-04,65.5
1985-05,20.9
1985-06,35.4
1985-07,61.8
1985-08,17.5
1985-09,14
1985-10,132.1
1985-11,97.6
1985-12,118.3
1986-01,21.6
1986-02,41.6
1986-03,34.7
1986-04,18.6
1986-05,4
1986-06,22.4
1986-07,36.5
1986-08,135.6
1986-09,28.6
1986-10,124.7
1986-11,30.7
1986-12,35.2
1987-01,46.3
1987-02,41.5
1987-03,32.2
1987-04,121.3
1987-05,1.6
1987-06,44.9
1987-07,18.2
1987-08,46
1987-09,149.8
1987-10,27.1
1987-11,11.4
1987-12,68.2
1988-01,30.7
1988-02,38.1
1988-03,30.6
1988-04,59.6
1988-05,45
1988-06,52.4
1988-07,23
1988-08,98
1988-09,65.8
1988-10,32.1
1988-11,44.2
1988-12,49.2
1989-01,27.7
1989-02,30.2
1989-03,54.8
1989-04,98
1989-05,15.6
1989-06,32.2
1989-07,18.4
1989-08,31.2
1989-09,20.3
1989-10,176.5
1989-11,137.2
1989-12,33.2
1990-01,14.7
1990-02,75.3
1990-03,88.5
1990-04,81.3
1990-05,65.3
1990-06,75
1990-07,8.5
1990-08,39.3
1990-09,32.9
1990-10,50.9
1990-11,41.5
1990-12,38.2
1991-01,40.5
1991-02,50.5
1991-03,30.6
1991-04,21.8
1991-05,23.3
1991-06,32.9
1991-07,31.8
1991-08,36.4
1991-09,21.6
1991-10,169.5
1991-11,15.8
1991-12,89.7
1992-01,73.7
1992-02,107.3
1992-03,72.4
1992-04,41.1
1992-05,27.4
1992-06,47.2
1992-07,99.9
1992-08,40.1
1992-09,25.2
1992-10,230.1
1992-11,89.8
1992-12,26.2
1993-01,80.6
1993-02,62.7
1993-03,29.2
1993-04,125.8
1993-05,46.1
1993-06,27.6
1993-07,24.9
1993-08,30.3
1993-09,211
1993-10,65.7
1993-11,46
1993-12,111.2
1994-01,62.2
1994-02,87.4
1994-03,98
1994-04,65.4
1994-05,14.3
1994-06,38.1
1994-07,43.5
1994-08,136
1994-09,45.6
1994-10,79.3
1994-11,15
1994-12,143.7
1995-01,48.5
1995-02,31.5
1995-03,109.2
1995-04,112.7
1995-05,70.4
1995-06,43
1995-07,16.9
1995-08,24.5
1995-09,42.7
1995-10,31.6
1995-11,173.3
1995-12,118.9
1996-01,55.8
1996-02,40.8
1996-03,37.7
1996-04,19.4
1996-05,10.4
1996-06,10.4
1996-07,46.3
1996-08,29.7
1996-09,35.5
1996-10,190
1996-11,256.5
1996-12,52
1997-01,16.3
1997-02,46.5
1997-03,91.2
1997-04,51.5
1997-05,123.7
1997-06,51.3
1997-07,39.9
1997-08,84
1997-09,22
1997-10,123.2
1997-11,28.9
1997-12,33.1
1998-01,78.5
1998-02,53.7
1998-03,97.9
1998-04,13.6
1998-05,33.9
1998-06,8.2
1998-07,49.8
1998-08,40.2
1998-09,24.9
1998-10,30
1998-11,56.8
1998-12,59.2
1999-01,77
1999-02,64.5
1999-03,92.6
1999-04,65.3
1999-05,7.4
1999-06,7.2
1999-07,48.8
1999-08,38.7
1999-09,50.9
1999-10,111.6
1999-11,16.1
1999-12,32.6
2000-01,89.3
2000-02,42.3
2000-03,159.6
2000-04,9.2
2000-05,20.2
2000-06,11.2
2000-07,13.9
"	",
