month,tmx
1979-01,31.3
1979-02,30.86
1979-03,27.82
1979-04,27.38
1979-05,25.23
1979-06,21.58
1979-07,20.87
1979-08,21.43
1979-09,22.93
1979-10,23.54
1979-11,28.61
1979-12,30.39
1980-01,30.1
1980-02,30.37
1980-03,30.68
1980-04,26.6
1980-05,23.43
1980-06,22.32
1980-07,23.6
1980-08,22.73
1980-09,22.63
1980-10,26
1980-11,25.07
1980-12,27.97
1981-01,28.79
1981-02,30.52
1981-03,29.87
1981-04,28.14
1981-05,26.68
1981-06,21
1981-07,19.52
1981-08,19.29
1981-09,22.7
1981-10,26.68
1981-11,27.57
1981-12,29.53
1982-01,28.05
1982-02,31.41
1982-03,29.5
1982-04,25.03
1982-05,22.22
1982-06,19.7
1982-07,20.63
1982-08,21.75
1982-09,25.79
1982-10,27.28
1982-11,26.32
1982-12,27.22
1983-01,29.9
1983-02,28.45
1983-03,29.73
1983-04,NA
1983-05,22.09
1983-06,19.78
1983-07,19.73
1983-08,22.09
1983-09,21.02
1983-10,25.93
1983-11,25.71
1983-12,28.48
1984-01,29.68
1984-02,30.71
1984-03,31.35
1984-04,29.8
1984-05,22.74
1984-06,23.22
1984-07,20.34
1984-08,22.29
1984-09,23.07
1984-10,22.79
1984-11,29.34
1984-12,27.73
1985-01,30.14
1985-02,30.03
1985-03,28.21
1985-04,27.83
1985-05,24.74
1985-06,21.83
1985-07,21.54
1985-08,23.32
1985-09,NA
1985-10,26.13
1985-11,31.48
1985-12,28.94
1986-01,30.24
1986-02,29.78
1986-03,27.81
1986-04,NA
1986-05,NA
1986-06,21.47
1986-07,20.47
1986-08,22.22
1986-09,25.11
1986-10,26.56
1986-11,27.06
1986-12,NA
1987-01,28.01
1987-02,29.55
1987-03,29.12
1987-04,25.75
1987-05,26.98
1987-06,22.02
1987-07,20.82
1987-08,22.09
1987-09,22.9
1987-10,26.41
1987-11,26.68
1987-12,27.07
1988-01,29.56
1988-02,33
1988-03,30.37
1988-04,NA
1988-05,26.26
1988-06,21.58
1988-07,20.05
1988-08,23.49
1988-09,23.49
1988-10,24.57
1988-11,29.57
1988-12,31.68
1989-01,30.58
1989-02,32.23
1989-03,29.67
1989-04,28.8
1989-05,24.62
1989-06,21.85
1989-07,20.19
1989-08,21.94
1989-09,24.09
1989-10,26.33
1989-11,28.25
1989-12,29.42
1990-01,31.69
1990-02,32.4
1990-03,30.43
1990-04,26.03
1990-05,24.74
1990-06,20.4
1990-07,19.47
1990-08,22.15
1990-09,26.32
1990-10,26.56
1990-11,26.7
1990-12,29.11
1991-01,30.3
1991-02,29.57
1991-03,31.36
1991-04,29.02
1991-05,26
1991-06,21.18
1991-07,19.89
1991-08,20.38
1991-09,23.46
1991-10,24.77
1991-11,27.81
1991-12,29.56
1992-01,31.44
1992-02,30.64
1992-03,30.36
1992-04,26.6
1992-05,23.36
1992-06,21.12
1992-07,20.44
1992-08,21.56
1992-09,23.47
1992-10,25.25
1992-11,28.05
1992-12,28.13
1993-01,31.79
1993-02,29.81
1993-03,31.16
1993-04,25.65
1993-05,21.11
1993-06,20.56
1993-07,21.86
1993-08,22.65
1993-09,26.44
1993-10,27.14
1993-11,29.11
1993-12,29.75
1994-01,31.42
1994-02,33.45
1994-03,29.78
1994-04,28.94
1994-05,24.45
1994-06,20.3
1994-07,21.13
1994-08,22.72
1994-09,25.08
1994-10,28.01
1994-11,27.54
1994-12,30.72
1995-01,30.65
1995-02,32.98
1995-03,30.87
1995-04,28.17
1995-05,25.99
1995-06,21.99
1995-07,19.68
1995-08,21.49
1995-09,24.3
1995-10,22.86
1995-11,27.26
1995-12,30.25
1996-01,31.14
1996-02,31.5
1996-03,29.22
1996-04,29.02
1996-05,24.96
1996-06,21.76
1996-07,18.96
1996-08,20.06
1996-09,20.38
1996-10,24.3
1996-11,24.42
1996-12,27.84
1997-01,30.46
1997-02,29.56
1997-03,27.78
1997-04,27.14
1997-05,24.58
1997-06,19.32
1997-07,22.31
1997-08,21.39
1997-09,26.4
1997-10,29.16
1997-11,25.18
1997-12,28.18
1998-01,30.31
1998-02,30.83
1998-03,30.35
1998-04,27.35
1998-05,22.9
1998-06,19.73
1998-07,20.36
1998-08,21.91
1998-09,24.31
1998-10,26.06
1998-11,26.83
1998-12,28.52
1999-01,31.31
1999-02,30.81
1999-03,31.87
1999-04,28.67
1999-05,24.31
1999-06,23.55
1999-07,22.52
1999-08,22.85
1999-09,23.47
1999-10,28.06
1999-11,28.18
1999-12,32.46
2000-01,32.19
2000-02,31.36
2000-03,31.32
2000-04,27.84
2000-05,24.74
2000-06,24.03
2000-07,23.25
"	",
