year,mt1000,t
1960,769,1
1961,871,2
1962,705,3
1963,880,4
1964,1060,5
1965,656,6
1966,548,7
1967,1077,8
1968,1247,9
1969,1316,10
1970,1396,11
1971,1670,12
1972,1746,13
1973,1871,14
1974,1596,15
1975,1792,16
1976,2239,17
1977,1860,18
1978,1690,19
1979,2086,20
1980,1470,21
1981,2339,22
1982,2420,23
1983,1809,24
1984,2224,25
1985,1680,26
1986,2321,27
1987,3135,28
1988,3535,29
1989,2026,30
1990,1702,31
1991,2132,32
1992,1318,33
1993,1975,34
1994,1832,35
1995,1950,36
1996,2712,37
1997,2283,38
1998,1884,39
1999,1725,40
2000,2349,41
2001,2490,42
2002,2320,43
2003,1540,44
2004,1680,45
2005,1886,46
2006,2105,47
2007,1905,48
2008,2130,49
2009,1960,50
2010,1430,51
2011,2005,52
2012,1870,53
2013,1870,54
2014,1750,55
2015,1440,56
2016,1910,57
2017,1535,58
2018,1868,59
2019,1535,60
2020,1700,61
